nohup: ignoring input
args ==> Namespace(data_path='~/data/', dataset='cifar10', image_size=32, disable_normalize=False, full_dataset=True, window_size=32, eval_batch_size=512, num_workers=4, arch='resnet18', method='simclr', batch_size=512, epochs=1000, start_epoch=0, remove='none', poisoning=True, update_model=False, contrastive=False, knn_eval_freq=1, distill_freq=5, saved_path='none', mode='frequency', temp=0.2, lr=0.06, wd=0.0005, cos=True, byol_m=0.996, poisonkey=7777, target_class=0, poison_ratio=0.01, pin_memory=False, select=False, reverse=False, trigger_position=[15, 31], magnitude=50, trigger_size=5, channel=[1, 2], threat_model='our', loss_alpha=2.0, strength=1.0, log_path='Experiments', poison_knn_eval_freq=5, poison_knn_eval_freq_iter=1, debug=False, trial='test', distributed=False, gpu=7, seed=None, diff_aug=True)
./Experiments/cifar10-simclr-resnet18-0.01-50-512-0.06-False-our-test
Use GPU: 7 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
transform used: Compose(
    RandomResizedCrop(size=(32, 32), scale=(0.2, 1.0), ratio=(0.75, 1.3333), interpolation=bilinear, antialias=True)
    RandomHorizontalFlip(p=0.5)
    RandomApply(
    p=0.8
    ColorJitter(brightness=(0.6, 1.4), contrast=(0.6, 1.4), saturation=(0.6, 1.4), hue=(-0.1, 0.1))
)
    RandomGrayscale(p=0.2)
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)
batch size is  512
dataset length is:  50000
dataset length is:  10000
dataset length is:  10000
dataset length is:  50000
/home/CTRL/methods/base.py:504: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature_labels = torch.tensor(memory_data_loader.dataset[:][1], device=feature_bank.device)
[1-epoch] time:39.312 | knn acc: 33.160 | back acc: 7.400 | loss:19.566 | cl_loss:19.566
1-th epoch saved
[2-epoch] time:29.986 | knn acc: 33.160 | back acc: 7.400 | loss:15.115 | cl_loss:15.115
[3-epoch] time:29.786 | knn acc: 33.160 | back acc: 7.400 | loss:12.823 | cl_loss:12.823
[4-epoch] time:22.875 | knn acc: 33.160 | back acc: 7.400 | loss:11.915 | cl_loss:11.915
[5-epoch] time:29.672 | knn acc: 33.160 | back acc: 7.400 | loss:11.387 | cl_loss:11.387
[6-epoch] time:34.835 | knn acc: 60.520 | back acc: 7.550 | loss:11.032 | cl_loss:11.032
[7-epoch] time:27.683 | knn acc: 60.520 | back acc: 7.550 | loss:10.779 | cl_loss:10.779
[8-epoch] time:29.848 | knn acc: 60.520 | back acc: 7.550 | loss:10.570 | cl_loss:10.570
[9-epoch] time:20.570 | knn acc: 60.520 | back acc: 7.550 | loss:10.421 | cl_loss:10.421
[10-epoch] time:20.792 | knn acc: 60.520 | back acc: 7.550 | loss:10.287 | cl_loss:10.287
/home/hlu/miniconda3/envs/hlu_spb/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:814: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[11-epoch] time:26.671 | knn acc: 66.470 | back acc: 7.440 | loss:10.195 | cl_loss:10.195
[12-epoch] time:20.539 | knn acc: 66.470 | back acc: 7.440 | loss:10.070 | cl_loss:10.070
[13-epoch] time:20.761 | knn acc: 66.470 | back acc: 7.440 | loss:9.952 | cl_loss:9.952
[14-epoch] time:20.549 | knn acc: 66.470 | back acc: 7.440 | loss:9.869 | cl_loss:9.869
[15-epoch] time:20.771 | knn acc: 66.470 | back acc: 7.440 | loss:9.803 | cl_loss:9.803
[16-epoch] time:26.395 | knn acc: 69.400 | back acc: 9.440 | loss:9.716 | cl_loss:9.716
[17-epoch] time:20.505 | knn acc: 69.400 | back acc: 9.440 | loss:9.698 | cl_loss:9.698
[18-epoch] time:20.712 | knn acc: 69.400 | back acc: 9.440 | loss:9.635 | cl_loss:9.635
[19-epoch] time:20.503 | knn acc: 69.400 | back acc: 9.440 | loss:9.559 | cl_loss:9.559
[20-epoch] time:20.622 | knn acc: 69.400 | back acc: 9.440 | loss:9.520 | cl_loss:9.520
[21-epoch] time:26.295 | knn acc: 71.630 | back acc: 8.990 | loss:9.506 | cl_loss:9.506
[22-epoch] time:20.610 | knn acc: 71.630 | back acc: 8.990 | loss:9.470 | cl_loss:9.470
[23-epoch] time:20.583 | knn acc: 71.630 | back acc: 8.990 | loss:9.414 | cl_loss:9.414
[24-epoch] time:20.704 | knn acc: 71.630 | back acc: 8.990 | loss:9.374 | cl_loss:9.374
[25-epoch] time:20.356 | knn acc: 71.630 | back acc: 8.990 | loss:9.355 | cl_loss:9.355
[26-epoch] time:26.477 | knn acc: 72.650 | back acc: 9.190 | loss:9.330 | cl_loss:9.330
[27-epoch] time:20.517 | knn acc: 72.650 | back acc: 9.190 | loss:9.311 | cl_loss:9.311
[28-epoch] time:20.600 | knn acc: 72.650 | back acc: 9.190 | loss:9.285 | cl_loss:9.285
[29-epoch] time:20.546 | knn acc: 72.650 | back acc: 9.190 | loss:9.275 | cl_loss:9.275
[30-epoch] time:20.697 | knn acc: 72.650 | back acc: 9.190 | loss:9.236 | cl_loss:9.236
[31-epoch] time:25.910 | knn acc: 74.120 | back acc: 10.060 | loss:9.201 | cl_loss:9.201
[32-epoch] time:20.456 | knn acc: 74.120 | back acc: 10.060 | loss:9.177 | cl_loss:9.177
[33-epoch] time:20.873 | knn acc: 74.120 | back acc: 10.060 | loss:9.180 | cl_loss:9.180
[34-epoch] time:20.761 | knn acc: 74.120 | back acc: 10.060 | loss:9.148 | cl_loss:9.148
[35-epoch] time:20.584 | knn acc: 74.120 | back acc: 10.060 | loss:9.147 | cl_loss:9.147
[36-epoch] time:25.999 | knn acc: 74.620 | back acc: 11.590 | loss:9.116 | cl_loss:9.116
[37-epoch] time:20.714 | knn acc: 74.620 | back acc: 11.590 | loss:9.102 | cl_loss:9.102
[38-epoch] time:20.678 | knn acc: 74.620 | back acc: 11.590 | loss:9.117 | cl_loss:9.117
[39-epoch] time:20.513 | knn acc: 74.620 | back acc: 11.590 | loss:9.091 | cl_loss:9.091
[40-epoch] time:20.576 | knn acc: 74.620 | back acc: 11.590 | loss:9.051 | cl_loss:9.051
[41-epoch] time:26.959 | knn acc: 75.540 | back acc: 12.020 | loss:9.065 | cl_loss:9.065
[42-epoch] time:20.523 | knn acc: 75.540 | back acc: 12.020 | loss:9.050 | cl_loss:9.050
[43-epoch] time:20.701 | knn acc: 75.540 | back acc: 12.020 | loss:9.034 | cl_loss:9.034
[44-epoch] time:20.498 | knn acc: 75.540 | back acc: 12.020 | loss:9.000 | cl_loss:9.000
[45-epoch] time:20.547 | knn acc: 75.540 | back acc: 12.020 | loss:9.005 | cl_loss:9.005
[46-epoch] time:26.381 | knn acc: 76.600 | back acc: 17.540 | loss:9.005 | cl_loss:9.005
[47-epoch] time:20.559 | knn acc: 76.600 | back acc: 17.540 | loss:8.993 | cl_loss:8.993
[48-epoch] time:20.620 | knn acc: 76.600 | back acc: 17.540 | loss:8.974 | cl_loss:8.974
[49-epoch] time:20.636 | knn acc: 76.600 | back acc: 17.540 | loss:8.989 | cl_loss:8.989
[50-epoch] time:20.674 | knn acc: 76.600 | back acc: 17.540 | loss:8.962 | cl_loss:8.962
[51-epoch] time:26.024 | knn acc: 77.620 | back acc: 12.540 | loss:8.958 | cl_loss:8.958
[52-epoch] time:20.515 | knn acc: 77.620 | back acc: 12.540 | loss:8.951 | cl_loss:8.951
[53-epoch] time:20.752 | knn acc: 77.620 | back acc: 12.540 | loss:8.936 | cl_loss:8.936
[54-epoch] time:20.572 | knn acc: 77.620 | back acc: 12.540 | loss:8.940 | cl_loss:8.940
[55-epoch] time:20.657 | knn acc: 77.620 | back acc: 12.540 | loss:8.916 | cl_loss:8.916
[56-epoch] time:26.494 | knn acc: 77.380 | back acc: 12.600 | loss:8.921 | cl_loss:8.921
[57-epoch] time:21.330 | knn acc: 77.380 | back acc: 12.600 | loss:8.910 | cl_loss:8.910
[58-epoch] time:20.641 | knn acc: 77.380 | back acc: 12.600 | loss:8.899 | cl_loss:8.899
[59-epoch] time:20.436 | knn acc: 77.380 | back acc: 12.600 | loss:8.880 | cl_loss:8.880
[60-epoch] time:20.536 | knn acc: 77.380 | back acc: 12.600 | loss:8.892 | cl_loss:8.892
[61-epoch] time:26.862 | knn acc: 78.700 | back acc: 16.070 | loss:8.865 | cl_loss:8.865
[62-epoch] time:20.597 | knn acc: 78.700 | back acc: 16.070 | loss:8.887 | cl_loss:8.887
[63-epoch] time:20.525 | knn acc: 78.700 | back acc: 16.070 | loss:8.847 | cl_loss:8.847
[64-epoch] time:20.923 | knn acc: 78.700 | back acc: 16.070 | loss:8.873 | cl_loss:8.873
[65-epoch] time:20.629 | knn acc: 78.700 | back acc: 16.070 | loss:8.845 | cl_loss:8.845
[66-epoch] time:26.516 | knn acc: 78.230 | back acc: 12.370 | loss:8.831 | cl_loss:8.831
[67-epoch] time:20.780 | knn acc: 78.230 | back acc: 12.370 | loss:8.837 | cl_loss:8.837
[68-epoch] time:20.633 | knn acc: 78.230 | back acc: 12.370 | loss:8.834 | cl_loss:8.834
[69-epoch] time:20.807 | knn acc: 78.230 | back acc: 12.370 | loss:8.843 | cl_loss:8.843
[70-epoch] time:20.624 | knn acc: 78.230 | back acc: 12.370 | loss:8.816 | cl_loss:8.816
[71-epoch] time:26.248 | knn acc: 79.170 | back acc: 12.620 | loss:8.804 | cl_loss:8.804
[72-epoch] time:20.476 | knn acc: 79.170 | back acc: 12.620 | loss:8.813 | cl_loss:8.813
[73-epoch] time:20.729 | knn acc: 79.170 | back acc: 12.620 | loss:8.793 | cl_loss:8.793
[74-epoch] time:20.652 | knn acc: 79.170 | back acc: 12.620 | loss:8.813 | cl_loss:8.813
[75-epoch] time:20.560 | knn acc: 79.170 | back acc: 12.620 | loss:8.788 | cl_loss:8.788
[76-epoch] time:26.442 | knn acc: 79.450 | back acc: 15.690 | loss:8.791 | cl_loss:8.791
[77-epoch] time:20.736 | knn acc: 79.450 | back acc: 15.690 | loss:8.786 | cl_loss:8.786
[78-epoch] time:20.598 | knn acc: 79.450 | back acc: 15.690 | loss:8.764 | cl_loss:8.764
[79-epoch] time:20.461 | knn acc: 79.450 | back acc: 15.690 | loss:8.780 | cl_loss:8.780
[80-epoch] time:20.678 | knn acc: 79.450 | back acc: 15.690 | loss:8.763 | cl_loss:8.763
[81-epoch] time:25.822 | knn acc: 79.190 | back acc: 28.660 | loss:8.774 | cl_loss:8.774
[82-epoch] time:20.548 | knn acc: 79.190 | back acc: 28.660 | loss:8.754 | cl_loss:8.754
[83-epoch] time:20.589 | knn acc: 79.190 | back acc: 28.660 | loss:8.754 | cl_loss:8.754
[84-epoch] time:20.583 | knn acc: 79.190 | back acc: 28.660 | loss:8.742 | cl_loss:8.742
[85-epoch] time:20.455 | knn acc: 79.190 | back acc: 28.660 | loss:8.765 | cl_loss:8.765
[86-epoch] time:26.130 | knn acc: 80.010 | back acc: 20.340 | loss:8.752 | cl_loss:8.752
[87-epoch] time:20.438 | knn acc: 80.010 | back acc: 20.340 | loss:8.739 | cl_loss:8.739
[88-epoch] time:20.595 | knn acc: 80.010 | back acc: 20.340 | loss:8.721 | cl_loss:8.721
[89-epoch] time:20.623 | knn acc: 80.010 | back acc: 20.340 | loss:8.712 | cl_loss:8.712
[90-epoch] time:20.560 | knn acc: 80.010 | back acc: 20.340 | loss:8.724 | cl_loss:8.724
[91-epoch] time:26.170 | knn acc: 80.780 | back acc: 14.710 | loss:8.721 | cl_loss:8.721
[92-epoch] time:20.543 | knn acc: 80.780 | back acc: 14.710 | loss:8.710 | cl_loss:8.710
[93-epoch] time:20.876 | knn acc: 80.780 | back acc: 14.710 | loss:8.714 | cl_loss:8.714
[94-epoch] time:20.605 | knn acc: 80.780 | back acc: 14.710 | loss:8.706 | cl_loss:8.706
[95-epoch] time:20.500 | knn acc: 80.780 | back acc: 14.710 | loss:8.685 | cl_loss:8.685
[96-epoch] time:26.425 | knn acc: 81.300 | back acc: 12.950 | loss:8.691 | cl_loss:8.691
[97-epoch] time:20.619 | knn acc: 81.300 | back acc: 12.950 | loss:8.687 | cl_loss:8.687
[98-epoch] time:20.707 | knn acc: 81.300 | back acc: 12.950 | loss:8.690 | cl_loss:8.690
[99-epoch] time:20.583 | knn acc: 81.300 | back acc: 12.950 | loss:8.665 | cl_loss:8.665
[100-epoch] time:20.520 | knn acc: 81.300 | back acc: 12.950 | loss:8.668 | cl_loss:8.668
[101-epoch] time:26.345 | knn acc: 81.400 | back acc: 16.910 | loss:8.675 | cl_loss:8.675
101-th epoch saved
[102-epoch] time:20.495 | knn acc: 81.400 | back acc: 16.910 | loss:8.663 | cl_loss:8.663
[103-epoch] time:20.572 | knn acc: 81.400 | back acc: 16.910 | loss:8.655 | cl_loss:8.655
[104-epoch] time:20.522 | knn acc: 81.400 | back acc: 16.910 | loss:8.669 | cl_loss:8.669
[105-epoch] time:20.700 | knn acc: 81.400 | back acc: 16.910 | loss:8.663 | cl_loss:8.663
[106-epoch] time:26.311 | knn acc: 81.640 | back acc: 14.030 | loss:8.669 | cl_loss:8.669
[107-epoch] time:20.431 | knn acc: 81.640 | back acc: 14.030 | loss:8.644 | cl_loss:8.644
[108-epoch] time:20.579 | knn acc: 81.640 | back acc: 14.030 | loss:8.648 | cl_loss:8.648
[109-epoch] time:20.478 | knn acc: 81.640 | back acc: 14.030 | loss:8.641 | cl_loss:8.641
[110-epoch] time:20.503 | knn acc: 81.640 | back acc: 14.030 | loss:8.660 | cl_loss:8.660
[111-epoch] time:26.268 | knn acc: 80.870 | back acc: 21.720 | loss:8.658 | cl_loss:8.658
[112-epoch] time:20.671 | knn acc: 80.870 | back acc: 21.720 | loss:8.627 | cl_loss:8.627
[113-epoch] time:20.580 | knn acc: 80.870 | back acc: 21.720 | loss:8.628 | cl_loss:8.628
[114-epoch] time:20.613 | knn acc: 80.870 | back acc: 21.720 | loss:8.633 | cl_loss:8.633
[115-epoch] time:20.562 | knn acc: 80.870 | back acc: 21.720 | loss:8.644 | cl_loss:8.644
[116-epoch] time:26.595 | knn acc: 82.420 | back acc: 14.420 | loss:8.623 | cl_loss:8.623
[117-epoch] time:20.619 | knn acc: 82.420 | back acc: 14.420 | loss:8.624 | cl_loss:8.624
[118-epoch] time:20.514 | knn acc: 82.420 | back acc: 14.420 | loss:8.613 | cl_loss:8.613
[119-epoch] time:20.793 | knn acc: 82.420 | back acc: 14.420 | loss:8.608 | cl_loss:8.608
[120-epoch] time:20.717 | knn acc: 82.420 | back acc: 14.420 | loss:8.642 | cl_loss:8.642
[121-epoch] time:26.970 | knn acc: 81.600 | back acc: 13.710 | loss:8.630 | cl_loss:8.630
[122-epoch] time:21.705 | knn acc: 81.600 | back acc: 13.710 | loss:8.601 | cl_loss:8.601
[123-epoch] time:20.746 | knn acc: 81.600 | back acc: 13.710 | loss:8.598 | cl_loss:8.598
[124-epoch] time:22.104 | knn acc: 81.600 | back acc: 13.710 | loss:8.613 | cl_loss:8.613
[125-epoch] time:20.417 | knn acc: 81.600 | back acc: 13.710 | loss:8.596 | cl_loss:8.596
[126-epoch] time:26.722 | knn acc: 82.000 | back acc: 16.270 | loss:8.596 | cl_loss:8.596
[127-epoch] time:20.905 | knn acc: 82.000 | back acc: 16.270 | loss:8.601 | cl_loss:8.601
[128-epoch] time:20.876 | knn acc: 82.000 | back acc: 16.270 | loss:8.599 | cl_loss:8.599
[129-epoch] time:20.788 | knn acc: 82.000 | back acc: 16.270 | loss:8.596 | cl_loss:8.596
[130-epoch] time:20.686 | knn acc: 82.000 | back acc: 16.270 | loss:8.602 | cl_loss:8.602
[131-epoch] time:26.560 | knn acc: 82.260 | back acc: 15.060 | loss:8.589 | cl_loss:8.589
[132-epoch] time:20.442 | knn acc: 82.260 | back acc: 15.060 | loss:8.598 | cl_loss:8.598
[133-epoch] time:20.657 | knn acc: 82.260 | back acc: 15.060 | loss:8.592 | cl_loss:8.592
[134-epoch] time:20.628 | knn acc: 82.260 | back acc: 15.060 | loss:8.576 | cl_loss:8.576
[135-epoch] time:20.571 | knn acc: 82.260 | back acc: 15.060 | loss:8.590 | cl_loss:8.590
[136-epoch] time:26.692 | knn acc: 81.460 | back acc: 13.690 | loss:8.564 | cl_loss:8.564
[137-epoch] time:20.635 | knn acc: 81.460 | back acc: 13.690 | loss:8.584 | cl_loss:8.584
[138-epoch] time:20.476 | knn acc: 81.460 | back acc: 13.690 | loss:8.579 | cl_loss:8.579
[139-epoch] time:20.482 | knn acc: 81.460 | back acc: 13.690 | loss:8.557 | cl_loss:8.557
[140-epoch] time:20.602 | knn acc: 81.460 | back acc: 13.690 | loss:8.567 | cl_loss:8.567
[141-epoch] time:26.559 | knn acc: 82.160 | back acc: 15.990 | loss:8.573 | cl_loss:8.573
[142-epoch] time:20.764 | knn acc: 82.160 | back acc: 15.990 | loss:8.558 | cl_loss:8.558
[143-epoch] time:20.710 | knn acc: 82.160 | back acc: 15.990 | loss:8.557 | cl_loss:8.557
[144-epoch] time:20.814 | knn acc: 82.160 | back acc: 15.990 | loss:8.533 | cl_loss:8.533
[145-epoch] time:21.032 | knn acc: 82.160 | back acc: 15.990 | loss:8.557 | cl_loss:8.557
[146-epoch] time:27.256 | knn acc: 82.690 | back acc: 15.130 | loss:8.534 | cl_loss:8.534
[147-epoch] time:21.657 | knn acc: 82.690 | back acc: 15.130 | loss:8.546 | cl_loss:8.546
[148-epoch] time:20.553 | knn acc: 82.690 | back acc: 15.130 | loss:8.558 | cl_loss:8.558
[149-epoch] time:20.637 | knn acc: 82.690 | back acc: 15.130 | loss:8.543 | cl_loss:8.543
[150-epoch] time:20.566 | knn acc: 82.690 | back acc: 15.130 | loss:8.554 | cl_loss:8.554
[151-epoch] time:26.586 | knn acc: 83.450 | back acc: 13.160 | loss:8.529 | cl_loss:8.529
[152-epoch] time:20.595 | knn acc: 83.450 | back acc: 13.160 | loss:8.541 | cl_loss:8.541
[153-epoch] time:20.778 | knn acc: 83.450 | back acc: 13.160 | loss:8.551 | cl_loss:8.551
[154-epoch] time:20.561 | knn acc: 83.450 | back acc: 13.160 | loss:8.533 | cl_loss:8.533
[155-epoch] time:20.583 | knn acc: 83.450 | back acc: 13.160 | loss:8.542 | cl_loss:8.542
[156-epoch] time:26.197 | knn acc: 82.120 | back acc: 14.190 | loss:8.522 | cl_loss:8.522
[157-epoch] time:20.731 | knn acc: 82.120 | back acc: 14.190 | loss:8.534 | cl_loss:8.534
[158-epoch] time:20.513 | knn acc: 82.120 | back acc: 14.190 | loss:8.535 | cl_loss:8.535
[159-epoch] time:20.633 | knn acc: 82.120 | back acc: 14.190 | loss:8.533 | cl_loss:8.533
[160-epoch] time:20.677 | knn acc: 82.120 | back acc: 14.190 | loss:8.531 | cl_loss:8.531
