nohup: ignoring input
args ==> Namespace(data_path='/home/DATASET/CIFAR-10', dataset='cifar10', image_size=32, disable_normalize=False, full_dataset=True, window_size=32, eval_batch_size=512, num_workers=4, arch='resnet18', method='simclr', batch_size=512, epochs=1000, start_epoch=0, remove='none', poisoning=True, update_model=False, contrastive=False, knn_eval_freq=1, distill_freq=5, saved_path='none', mode='frequency', temp=0.2, lr=0.06, wd=0.0005, cos=True, byol_m=0.996, poisonkey=7777, target_class=0, poison_ratio=0.01, pin_memory=False, select=False, reverse=False, trigger_position=[15, 31], magnitude=50, trigger_size=5, channel=[1, 2], threat_model='our', loss_alpha=2.0, strength=1.0, log_path='Experiments', poison_knn_eval_freq=5, poison_knn_eval_freq_iter=1, debug=False, trial='test', distributed=False, gpu=6, seed=None, diff_aug=True)
./Experiments/cifar10-simclr-resnet18-0.01-50-512-0.06-False-our-test
Use GPU: 6 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
/home/CTRL/methods/base.py:445: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature_labels =  torch.tensor(memory_data_loader.dataset[:][1], device=feature_bank.device)
[1-epoch] time:157.129 | knn acc: 33.152 | back acc: 9.620 | loss:19.592 | cl_loss:19.592
1-th epoch saved
[2-epoch] time:172.449 | knn acc: 33.152 | back acc: 9.620 | loss:15.503 | cl_loss:15.503
[3-epoch] time:164.546 | knn acc: 33.152 | back acc: 9.620 | loss:13.138 | cl_loss:13.138
[4-epoch] time:155.494 | knn acc: 33.152 | back acc: 9.620 | loss:12.228 | cl_loss:12.228
[5-epoch] time:164.389 | knn acc: 33.152 | back acc: 9.620 | loss:11.591 | cl_loss:11.591
[6-epoch] time:150.213 | knn acc: 57.442 | back acc: 8.100 | loss:11.231 | cl_loss:11.231
[7-epoch] time:161.584 | knn acc: 57.442 | back acc: 8.100 | loss:11.009 | cl_loss:11.009
[8-epoch] time:138.310 | knn acc: 57.442 | back acc: 8.100 | loss:10.764 | cl_loss:10.764
[9-epoch] time:162.051 | knn acc: 57.442 | back acc: 8.100 | loss:10.594 | cl_loss:10.594
[10-epoch] time:164.269 | knn acc: 57.442 | back acc: 8.100 | loss:10.489 | cl_loss:10.489
/home/hlu/miniconda3/envs/hlu_spb/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:814: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[11-epoch] time:158.406 | knn acc: 62.901 | back acc: 6.950 | loss:10.351 | cl_loss:10.351
[12-epoch] time:156.278 | knn acc: 62.901 | back acc: 6.950 | loss:10.248 | cl_loss:10.248
[13-epoch] time:145.640 | knn acc: 62.901 | back acc: 6.950 | loss:10.117 | cl_loss:10.117
[14-epoch] time:161.453 | knn acc: 62.901 | back acc: 6.950 | loss:10.024 | cl_loss:10.024
[15-epoch] time:165.202 | knn acc: 62.901 | back acc: 6.950 | loss:9.952 | cl_loss:9.952
[16-epoch] time:145.513 | knn acc: 67.331 | back acc: 8.070 | loss:9.913 | cl_loss:9.913
[17-epoch] time:156.895 | knn acc: 67.331 | back acc: 8.070 | loss:9.805 | cl_loss:9.805
[18-epoch] time:142.650 | knn acc: 67.331 | back acc: 8.070 | loss:9.765 | cl_loss:9.765
[19-epoch] time:159.541 | knn acc: 67.331 | back acc: 8.070 | loss:9.741 | cl_loss:9.741
[20-epoch] time:156.245 | knn acc: 67.331 | back acc: 8.070 | loss:9.689 | cl_loss:9.689
[21-epoch] time:156.665 | knn acc: 69.213 | back acc: 9.030 | loss:9.657 | cl_loss:9.657
[22-epoch] time:154.095 | knn acc: 69.213 | back acc: 9.030 | loss:9.570 | cl_loss:9.570
[23-epoch] time:144.728 | knn acc: 69.213 | back acc: 9.030 | loss:9.551 | cl_loss:9.551
[24-epoch] time:161.425 | knn acc: 69.213 | back acc: 9.030 | loss:9.522 | cl_loss:9.522
[25-epoch] time:139.799 | knn acc: 69.213 | back acc: 9.030 | loss:9.498 | cl_loss:9.498
[26-epoch] time:160.718 | knn acc: 70.117 | back acc: 9.960 | loss:9.465 | cl_loss:9.465
[27-epoch] time:151.822 | knn acc: 70.117 | back acc: 9.960 | loss:9.456 | cl_loss:9.456
[28-epoch] time:133.986 | knn acc: 70.117 | back acc: 9.960 | loss:9.409 | cl_loss:9.409
[29-epoch] time:147.819 | knn acc: 70.117 | back acc: 9.960 | loss:9.370 | cl_loss:9.370
[30-epoch] time:148.791 | knn acc: 70.117 | back acc: 9.960 | loss:9.342 | cl_loss:9.342
[31-epoch] time:144.198 | knn acc: 71.186 | back acc: 10.680 | loss:9.347 | cl_loss:9.347
[32-epoch] time:152.040 | knn acc: 71.186 | back acc: 10.680 | loss:9.302 | cl_loss:9.302
[33-epoch] time:132.095 | knn acc: 71.186 | back acc: 10.680 | loss:9.288 | cl_loss:9.288
[34-epoch] time:152.869 | knn acc: 71.186 | back acc: 10.680 | loss:9.269 | cl_loss:9.269
[35-epoch] time:150.806 | knn acc: 71.186 | back acc: 10.680 | loss:9.250 | cl_loss:9.250
[36-epoch] time:134.465 | knn acc: 71.433 | back acc: 12.800 | loss:9.223 | cl_loss:9.223
[37-epoch] time:140.782 | knn acc: 71.433 | back acc: 12.800 | loss:9.228 | cl_loss:9.228
[38-epoch] time:137.065 | knn acc: 71.433 | back acc: 12.800 | loss:9.221 | cl_loss:9.221
[39-epoch] time:146.433 | knn acc: 71.433 | back acc: 12.800 | loss:9.183 | cl_loss:9.183
[40-epoch] time:152.734 | knn acc: 71.433 | back acc: 12.800 | loss:9.176 | cl_loss:9.176
[41-epoch] time:138.775 | knn acc: 70.960 | back acc: 16.090 | loss:9.148 | cl_loss:9.148
[42-epoch] time:148.319 | knn acc: 70.960 | back acc: 16.090 | loss:9.126 | cl_loss:9.126
[43-epoch] time:150.317 | knn acc: 70.960 | back acc: 16.090 | loss:9.137 | cl_loss:9.137
[44-epoch] time:128.281 | knn acc: 70.960 | back acc: 16.090 | loss:9.110 | cl_loss:9.110
[45-epoch] time:145.153 | knn acc: 70.960 | back acc: 16.090 | loss:9.093 | cl_loss:9.093
[46-epoch] time:135.615 | knn acc: 71.556 | back acc: 14.670 | loss:9.055 | cl_loss:9.055
[47-epoch] time:148.007 | knn acc: 71.556 | back acc: 14.670 | loss:9.069 | cl_loss:9.069
[48-epoch] time:154.110 | knn acc: 71.556 | back acc: 14.670 | loss:9.070 | cl_loss:9.070
[49-epoch] time:135.169 | knn acc: 71.556 | back acc: 14.670 | loss:9.057 | cl_loss:9.057
[50-epoch] time:155.162 | knn acc: 71.556 | back acc: 14.670 | loss:9.026 | cl_loss:9.026
[51-epoch] time:152.061 | knn acc: 72.708 | back acc: 13.350 | loss:9.051 | cl_loss:9.051
[52-epoch] time:157.985 | knn acc: 72.708 | back acc: 13.350 | loss:9.011 | cl_loss:9.011
[53-epoch] time:157.062 | knn acc: 72.708 | back acc: 13.350 | loss:9.026 | cl_loss:9.026
[54-epoch] time:140.473 | knn acc: 72.708 | back acc: 13.350 | loss:9.024 | cl_loss:9.024
[55-epoch] time:161.400 | knn acc: 72.708 | back acc: 13.350 | loss:8.997 | cl_loss:8.997
[56-epoch] time:150.093 | knn acc: 73.181 | back acc: 22.240 | loss:8.995 | cl_loss:8.995
[57-epoch] time:159.338 | knn acc: 73.181 | back acc: 22.240 | loss:9.010 | cl_loss:9.010
[58-epoch] time:154.149 | knn acc: 73.181 | back acc: 22.240 | loss:8.962 | cl_loss:8.962
[59-epoch] time:146.888 | knn acc: 73.181 | back acc: 22.240 | loss:8.975 | cl_loss:8.975
[60-epoch] time:150.963 | knn acc: 73.181 | back acc: 22.240 | loss:8.954 | cl_loss:8.954
[61-epoch] time:147.820 | knn acc: 74.332 | back acc: 41.360 | loss:8.949 | cl_loss:8.949
[62-epoch] time:151.164 | knn acc: 74.332 | back acc: 41.360 | loss:8.910 | cl_loss:8.910
[63-epoch] time:147.580 | knn acc: 74.332 | back acc: 41.360 | loss:8.951 | cl_loss:8.951
[64-epoch] time:135.161 | knn acc: 74.332 | back acc: 41.360 | loss:8.916 | cl_loss:8.916
[65-epoch] time:149.675 | knn acc: 74.332 | back acc: 41.360 | loss:8.931 | cl_loss:8.931
[66-epoch] time:147.966 | knn acc: 73.633 | back acc: 39.470 | loss:8.900 | cl_loss:8.900
[67-epoch] time:152.953 | knn acc: 73.633 | back acc: 39.470 | loss:8.907 | cl_loss:8.907
[68-epoch] time:162.566 | knn acc: 73.633 | back acc: 39.470 | loss:8.919 | cl_loss:8.919
[69-epoch] time:106.725 | knn acc: 73.633 | back acc: 39.470 | loss:8.893 | cl_loss:8.893
